Player,Team,POS,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Jaylen Samuels,PIT,RB,44.3,155.4,1,37,255.9,1.4,0.7,53.7
Bryce Love,WAS,RB,58.9,248.6,1.7,12.9,103.6,0.4,0.3,47.1
Dion Lewis,NYG,RB,62.3,242.4,1,21.2,131.2,0.8,0.7,46.9
Reggie Bonnafon,CAR,RB,52.8,253.8,1.7,8.7,73.2,0.2,0.6,42.7
Darwin Thompson,KC,RB,58.8,244,1.7,9.2,51.5,0.1,0.5,39.6
DeeJay Dallas,SEA,RB,51.3,221.7,1.5,7.5,71.7,0.2,0.6,38.3
Benny Snell Jr.,PIT,RB,68.1,264.2,1.9,2.1,14.8,0,0.6,38
Dare Ogunbowale,TB,RB,25.7,91.6,1.9,17.1,136.9,0.4,0.1,36.5
Ryquell Armstead,JAC,RB,62.8,219.3,1.5,5.7,52.6,0.2,0.6,36
Royce Freeman,DEN,RB,41.4,162.9,0.9,18.5,120,0.6,0.5,35.8
Kyle Juszczyk,SF,RB,5.8,20.6,0.1,23.5,258.8,1.4,0.6,35.5
Damien Harris,NE,RB,44.9,185.7,1.3,8.6,69.7,0.3,0.2,34.3
Lynn Bowden Jr.,LV,RB,23.8,106.8,0.7,15.7,145.4,0.7,0.2,32.9
Patrick Laird,MIA,RB,20.8,84.7,0.4,22.2,175.1,0.7,0.2,32.6
Justice Hill,BAL,RB,43.6,168,1.2,8.5,68.2,0.2,0.5,31
Ryan Nall,CHI,RB,38.2,159.2,1,8.8,69,0.3,0.2,30.4
Lamical Perine,NYJ,RB,57,197,1,3,26,0,1,26.3
Qadree Ollison,ATL,RB,35.7,129.8,1.9,1.7,14.4,0.1,0.1,25.7
Jeff Wilson,SF,RB,29.1,117.4,1.9,1.4,15.3,0.1,0.1,25
DeAndre Washington,KC,RB,23.7,102,1.3,7,55.6,0.2,0.1,24.8
Darrel Williams,KC,RB,27,85,2,3,32,0,0,23.7
Andy Janovich,CLE,RB,4,11.9,1.1,9.9,101.9,0.7,0,21.8
Brandon Bolden,NE,RB,14.1,72.7,1.6,4.1,42.3,0.1,0,21.7
Mike Boone,MIN,RB,30.5,130.9,1.1,1.9,15.9,0.1,0.1,21.7
Elijah Wellman,GB,RB,18,73,1,11,80,0,0,21.3
CJ Ham,MIN,RB,8.7,35.5,0.3,15.2,132,0.5,0.2,21.3
Dontrell Hilliard,CLE,RB,18.2,69.3,1.4,6,53.3,0.1,0.1,21.1
Jordan Wilkins,IND,RB,17.4,77.4,0.6,8.3,65.6,0.4,0.1,19.7
Patrick Ricard,BAL,RB,0,0,0,13,73,2,0,19.3
Wes Hills,DET,RB,29,107,1,3,25,0,0,19.2
T.J. Yeldon,BUF,RB,27.8,121.8,0.7,2.9,28.2,0,0,19
Kenneth Dixon,NYJ,RB,25,93,1,3,28,0,0,18.1
Trayveon Williams,CIN,RB,20.1,81.7,0.6,6.1,47.8,0.2,0.1,17.6
Josh Adams,NYJ,RB,29.1,109.6,0.7,2.5,18.8,0.1,0.1,17.5
Buddy Howell,HOU,RB,23.1,96.7,0.6,4,30.8,0.2,0.1,17.1
Dwayne Washington,NO,RB,20.7,82.8,0.6,4.2,33,0.2,0.1,16.2
Corey Clement,PHI,RB,20.7,86.1,0.9,2.2,18.4,0.1,0.1,16.1
Jason Huntley,DET,RB,19.5,77.6,0.6,4.1,35.4,0.1,0,15.5
Dalyn Dawkins,TEN,RB,13,54.3,0.4,6.9,56.4,0.4,0.1,15.4
