Player,Team,POS,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INT,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS
David Blough,DET,QB,23,13,157,1,1,4,16,0,0,9.9
Nick Mullens,SF,QB,21.6,14.1,171.2,1.1,0.8,2.6,2.7,0,0.1,9.9
John Wolford,LAR,QB,19,12,137,1,0,1,3,0,0,9.8
Jacoby Brissett,IND,QB,18.3,10.9,118.9,1.1,0.2,1.9,8.8,0.1,0.1,9.8
Jordan Love,GB,QB,22.3,13.1,149,1.1,0.5,1.1,4,0,0.1,9.7
Nate Stanley,MIN,QB,15,10,115,1,0,1,4,0,0,9
Cole McDonald,TEN,QB,17.5,10.7,125.5,1,0.4,1.3,5.4,0,0.1,9
Jake Luton,JAC,QB,17,11,116,1,0,1,3,0,0,8.9
David Fales,NYJ,QB,21,13,143,1,1,4,11,0,0,8.8
Garrett Gilbert,CLE,QB,12,7,95,1,0,4,4,0,0,8.2
James Morgan,NYJ,QB,21.6,12.9,141.9,1,0.9,1,3.2,0,0.1,8.1
Jake Fromm,BUF,QB,12,7,83,1,0,1,4,0,0,7.7
Sean Mannion,MIN,QB,23,13.5,151.1,0.5,1,2.4,3,0,0.6,5.1
Jacob Eason,IND,QB,10,6,62,0,0,1,2,0,0,2.7
Malcolm Perry,MIA,QB,0,0,0,0,0,1,3,0,0,0.3
C.J. Beathard,SF,QB,0,0,0,0,0,0,0,0,0,0
Logan Woodside,TEN,QB,0,0,0,0,0,0,0,0,0,0
DeShone Kizer,LV,QB,0,0,0,0,0,0,0,0,0,0
Davis Webb,BUF,QB,0,0,0,0,0,0,0,0,0,0
Danny Etling,ATL,QB,0,0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,0,0,0,0,0,0,0,0,0,0
Devlin Hodges,PIT,QB,0,0,0,0,0,0,0,0,0,0
Paxton Lynch,PIT,QB,0,0,0,0,0,0,0,0,0,0
Ryan Griffin,TB,QB,0,0,0,0,0,0,0,0,0,0
Kyle Lauletta,PHI,QB,0,0,0,0,0,0,0,0,0,0
Brandon Allen,DEN,QB,0,0,0,0,0,0,0,0,0,0
Alex Smith,WAS,QB,0,0,0,0,0,0,0,0,0,0
Nathan Peterman,LV,QB,0,0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,QB,0,0,0,0,0,0,0,0,0,0
Will Grier,CAR,QB,0,0,0,0,0,0,0,0,0,0
Tommy Stevens,NO,QB,0,0,0,0,0,0,0,0,0,0
Jake Rudock,MIA,QB,0,0,0,0,0,0,0,0,0,0
Easton Stick,LAC,QB,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,DAL,QB,0,0,0,0,0,0,0,0,0,0
Mike White,NYJ,QB,0,0,0,0,0,0,0,0,0,0
Clayton Thorson,DAL,QB,0,0,0,0,0,0,0,0,0,0
Chad Kelly,IND,QB,0,0,0,0,0,0,0,0,0,0
Alex Tanney,NYG,QB,0,0,0,0,0,0,0,0,0,0
Alex McGough,HOU,QB,0,0,0,0,0,0,0,0,0,0
Trace McSorley,BAL,QB,0,0,0,0,0,0,0,0,0,0
Nate Sudfeld,PHI,QB,0,0,0,0,0,0,0,0,0,0
