"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Marquez Valdes-Scantling","GB","WR120","0.0","0.0","0.0","11.4","174.2","1.0","0.1","23.5"
"Devin Asiasi","NE","TE63","0.0","0.0","0.0","15.7","165.3","1.3","0.5","23.0"
"Garrett Griffin","NO","TE64","0.0","0.0","0.0","13.0","106.0","2.0","0.0","22.6"
"Javon Wims","CHI","WR121","0.0","0.0","0.0","13.9","170.6","0.9","0.1","22.5"
"Kalif Raymond","TEN","WR122","0.0","0.0","0.0","10.9","155.3","1.1","0.1","22.2"
"Hakeem Butler","ARI","WR123","0.0","0.0","0.0","12.8","159.5","1.0","0.1","22.0"
"Andy Janovich","CLE","RB89","4.0","11.9","1.1","9.9","101.9","0.7","0.0","21.8"
"Brandon Bolden","NE","RB90","14.1","72.7","1.6","4.1","42.3","0.1","0.0","21.7"
"Stephen Sullivan","SEA","TE65","0.0","0.0","0.0","10.0","157.0","1.0","0.0","21.7"
"Mike Boone","MIN","RB91","30.5","130.9","1.1","1.9","15.9","0.1","0.1","21.7"
"Levine Toilolo","NYG","TE66","0.0","0.0","0.0","14.4","146.3","1.2","0.0","21.7"
"Cordarrelle Patterson","CHI","WR124","14.4","87.4","0.4","8.5","80.0","0.4","0.1","21.3"
"Elijah Wellman","GB","RB92","18.0","73.0","1.0","11.0","80.0","0.0","0.0","21.3"
"CJ Ham","MIN","RB93","8.7","35.5","0.3","15.2","132.0","0.5","0.2","21.3"
"Dontrell Hilliard","CLE","RB94","18.2","69.3","1.4","6.0","53.3","0.1","0.1","21.1"
"Tyler Kroft","BUF","TE67","0.0","0.0","0.0","11.9","121.6","1.5","0.0","20.8"
"Codey McElroy","TB","TE68","0.0","0.0","0.0","10.0","146.0","1.0","0.0","20.6"
"Olamide Zaccheaus","ATL","RB95","0.0","0.0","0.0","11.4","150.4","0.9","0.1","20.1"
"Jordan Wilkins","IND","RB96","17.4","77.4","0.6","8.3","65.6","0.4","0.1","19.7"
"Demetrius Harris","CHI","TE69","0.0","0.0","0.0","10.8","105.1","1.5","0.0","19.6"
"Patrick Ricard","BAL","DT1","0.0","0.0","0.0","13.0","73.0","2.0","0.0","19.3"
"Wes Hills","DET","RB97","29.0","107.0","1.0","3.0","25.0","0.0","0.0","19.2"
"Deon Yelder","KC","TE70","0.0","0.0","0.0","11.4","129.0","1.1","0.1","19.1"
"T.J. Yeldon","BUF","RB98","27.8","121.8","0.7","2.9","28.2","0.0","0.0","19.0"
"Kaden Smith","NYG","TE71","0.0","0.0","0.0","13.1","122.9","1.1","0.0","19.0"
"Tanner Hudson","TB","TE72","0.0","0.0","0.0","10.0","126.0","1.0","0.0","18.6"
"Nick O'Leary","LV","TE73","0.0","0.0","0.0","11.0","125.0","1.0","0.0","18.5"
"Khari Lee","ATL","TE74","0.0","0.0","0.0","13.0","124.0","1.0","0.0","18.4"
"Kenneth Dixon","NYJ","RB99","25.0","93.0","1.0","3.0","28.0","0.0","0.0","18.1"
"Blake Bell","DAL","TE75","0.0","0.0","0.0","10.9","118.3","1.0","0.1","17.8"
"Riley Ridley","CHI","WR125","0.0","0.0","0.0","10.9","139.9","0.7","0.1","17.8"
"Vyncint Smith","NYJ","WR126","1.9","10.9","0.1","9.1","123.8","0.7","0.1","17.7"
"Trayveon Williams","CIN","RB100","20.1","81.7","0.6","6.1","47.8","0.2","0.1","17.6"
"Josh Adams","NYJ","RB101","29.1","109.6","0.7","2.5","18.8","0.1","0.1","17.5"
"Ben Braunecker","CHI","TE76","0.0","0.0","0.0","11.0","114.0","1.0","0.0","17.4"
"Harrison Bryant","CLE","TE77","0.0","0.0","0.0","11.8","128.0","0.8","0.0","17.4"
"Rashard Higgins","CLE","WR127","0.0","0.0","0.0","9.3","123.2","0.9","0.1","17.3"
"Pharaoh Brown","CLE","TE78","0.0","0.0","0.0","10.0","113.0","1.0","0.0","17.3"
"Buddy Howell","HOU","RB102","23.1","96.7","0.6","4.0","30.8","0.2","0.1","17.1"
"Bryan Edwards","LV","WR128","0.0","0.0","0.0","9.7","123.5","0.8","0.1","17.1"
"Quintez Cephus","DET","WR129","0.0","0.0","0.0","10.0","126.3","0.7","0.1","16.8"
"Eric Tomlinson","NYG","TE79","0.0","0.0","0.0","11.0","106.0","1.0","0.0","16.6"
"Geronimo Allison","DET","WR130","0.0","0.0","0.0","10.6","121.5","0.8","0.1","16.5"
"Jason Witten","LV","TE80","0.0","0.0","0.0","12.1","105.0","1.0","0.1","16.5"
"Chris Manhertz","CAR","TE81","0.0","0.0","0.0","9.9","116.5","0.8","0.0","16.4"
"Durham Smythe","MIA","TE82","0.0","0.0","0.0","11.3","118.5","0.8","0.1","16.2"
"Auden Tate","CIN","WR131","0.0","0.0","0.0","9.1","120.7","0.7","0.1","16.2"
"Josiah Deguara","GB","TE83","0.0","0.0","0.0","12.2","125.7","0.8","0.5","16.2"
"Dwayne Washington","NO","RB103","20.7","82.8","0.6","4.2","33.0","0.2","0.1","16.2"
"Corey Clement","PHI","RB104","20.7","86.1","0.9","2.2","18.4","0.1","0.1","16.1"
"Foster Moreau","LV","TE84","0.0","0.0","0.0","11.2","100.2","1.0","0.0","15.8"
"Seth Roberts","CAR","WR132","0.0","0.0","0.0","10.7","120.9","0.6","0.1","15.8"
"Adam Shaheen","CHI","TE85","0.0","0.0","0.0","11.5","106.1","1.2","1.0","15.6"
"Jason Huntley","DET","RB105","19.5","77.6","0.6","4.1","35.4","0.1","0.0","15.5"
"MyCole Pruitt","TEN","TE86","0.0","0.0","0.0","8.7","99.2","0.9","0.0","15.4"
"Dalyn Dawkins","TEN","RB106","13.0","54.3","0.4","6.9","56.4","0.4","0.1","15.4"
"Raymond Calais","TB","RB107","19.4","75.5","0.6","4.0","41.0","0.0","0.0","15.4"
"Mike Davis","CAR","RB108","22.5","91.0","0.7","3.2","18.9","0.0","0.0","15.4"
"Troy Fumagalli","DEN","TE87","0.0","0.0","0.0","11.0","90.0","1.0","0.0","15.0"
"Eno Benjamin","ARI","RB109","18.9","77.3","0.5","4.0","31.9","0.2","0.1","14.9"
"Brian Hill","ATL","RB110","17.9","74.9","0.4","4.7","37.8","0.2","0.1","14.7"
"Joe Reed","LAC","WR133","0.0","0.0","0.0","9.0","109.3","0.6","0.1","14.1"
"Marqise Lee","NE","WR134","0.0","0.0","0.0","8.4","106.7","0.6","0.0","14.1"
"John Ursua","SEA","WR135","0.0","0.0","0.0","7.5","95.0","0.8","0.1","14.0"
"DaeSean Hamilton","DEN","WR136","0.0","0.0","0.0","9.7","103.2","0.6","0.1","13.9"
"Kahale Warring","HOU","TE88","0.0","0.0","0.0","8.4","90.9","0.8","0.0","13.8"
"Wayne Gallman","NYG","RB111","16.2","63.7","0.6","4.0","35.0","0.0","0.0","13.6"
"J.J. Arcega-Whiteside","PHI","WR137","0.0","0.0","0.0","6.8","93.6","0.7","0.0","13.5"
"Adam Trautman","NO","TE89","0.0","0.0","0.0","9.3","90.2","0.7","0.0","13.1"
"Bo Scarbrough","DET","RB112","16.1","67.0","0.3","4.2","34.7","0.2","0.1","13.0"
"Devin Smith","DAL","WR138","0.0","0.0","0.0","6.6","90.5","0.7","0.0","12.9"
"Michael Roberts","MIA","TE90","0.0","0.0","0.0","7.9","89.5","0.6","0.0","12.7"
"Justin Watson","TB","WR139","0.0","0.0","0.0","7.3","86.7","0.7","0.0","12.7"
"Ventell Bryant","DAL","WR140","0.0","0.0","0.0","6.8","87.6","0.6","0.0","12.5"
"Ryan Izzo","NE","TE91","0.0","0.0","0.0","6.9","86.1","0.6","0.0","12.4"
"Jordan Thomas","HOU","TE92","0.0","0.0","0.0","7.3","76.7","0.8","0.0","12.4"
"Seth DeValve","CAR","TE93","0.0","0.0","0.0","7.9","85.5","0.6","0.0","12.3"
"Joshua Perkins","PHI","TE94","0.0","0.0","0.0","7.8","80.7","0.7","0.0","12.0"
"Brycen Hopkins","LAR","TE95","0.0","0.0","0.0","7.9","83.1","0.6","0.0","12.0"
"Isaiah McKenzie","BUF","WR141","4.1","25.1","0.1","6.4","66.2","0.4","0.1","12.0"
"Tommy Sweeney","BUF","TE96","0.0","0.0","0.0","6.1","82.3","0.6","0.0","11.9"
"Greg Ward","PHI","WR142","2.1","10.6","0.1","6.7","73.3","0.5","0.1","11.7"
"Damion Ratley","CLE","WR143","0.0","0.0","0.0","6.0","82.2","0.6","0.0","11.7"
"Alec Ingold","LV","RB113","11.9","48.7","0.4","4.0","33.2","0.2","0.1","11.5"
"Cody Latimer","WAS","WR144","0.0","0.0","0.0","6.6","90.2","0.4","0.0","11.4"
"Derek Carrier","LV","TE97","0.0","0.0","0.0","7.9","70.5","0.7","0.0","11.2"
"KeeSean Johnson","ARI","WR145","0.0","0.0","0.0","6.6","77.8","0.6","0.0","11.1"
"Hale Hentges","WAS","TE98","0.0","0.0","0.0","7.4","83.2","0.5","0.0","11.0"
"Donald Parham","LAC","TE99","0.0","0.0","0.0","6.6","73.5","0.6","0.0","11.0"
"Deonte Harris","NO","WR146","2.1","11.3","0.1","5.2","65.3","0.5","0.0","10.9"
"Ameer Abdullah","MIN","RB114","8.7","35.8","0.2","5.8","47.5","0.2","0.1","10.9"
"Ross Dwelley","SF","TE100","0.0","0.0","0.0","6.5","69.7","0.7","0.0","10.8"
"Albert Okwuegbunam","DEN","TE101","0.0","0.0","0.0","7.1","71.0","0.6","0.0","10.7"
"Alex Armah","CAR","RB115","9.7","23.3","1.1","6.0","18.0","0.0","0.0","10.7"
"Charlie Woerner","SF","TE102","0.0","0.0","0.0","6.1","69.1","0.6","0.0","10.7"
"Tyler Conklin","MIN","TE103","0.0","0.0","0.0","6.8","78.2","0.5","0.0","10.4"
"Gabriel Davis","BUF","WR147","0.0","0.0","0.0","5.7","78.4","0.4","0.0","10.2"
"Travis Homer","SEA","RB116","13.3","56.0","0.4","2.4","18.5","0.1","0.1","10.2"
"Trey Quinn","WAS","WR148","0.0","0.0","0.0","7.1","78.3","0.4","0.0","10.2"
"Colby Parkinson","SEA","TE104","0.0","0.0","0.0","6.1","65.4","0.6","0.0","10.1"
"Trenton Cannon","NYJ","RB117","11.1","45.3","0.2","4.0","33.0","0.2","0.1","10.1"
"Nick Vannett","DEN","TE105","0.0","0.0","0.0","7.1","69.2","0.5","0.1","9.8"
"Kalen Ballage","MIA","RB118","10.4","42.4","0.3","4.3","30.7","0.1","0.1","9.7"
"Nelson Agholor","LV","WR149","0.0","0.0","0.0","6.3","68.7","0.5","0.1","9.7"
"Jordan Chunn","DAL","RB119","12.8","51.7","0.4","2.1","16.3","0.1","0.1","9.7"
"Nick Bellore","SEA","LB1","0.0","0.0","0.0","3.4","32.2","1.0","0.0","9.5"
"Elijhaa Penny","NYG","RB120","7.4","30.4","0.3","4.1","33.5","0.2","0.0","9.0"
"Luke Willson","SEA","TE106","0.0","0.0","0.0","5.6","52.2","0.6","0.0","8.6"
"J.D. McKissic","WAS","RB121","6.9","30.0","0.2","4.3","34.6","0.1","0.0","8.3"
"Alex Erickson","CIN","WR150","4.0","24.3","0.1","3.4","40.2","0.2","0.1","8.0"
"Corey Coleman","NYG","WR151","0.0","0.0","0.0","4.2","54.8","0.4","0.0","7.9"
"Taiwan Jones","BUF","RB122","10.3","42.4","0.3","1.9","15.6","0.1","0.1","7.7"
"T.J. Logan","TB","RB123","3.9","16.4","0.1","4.7","34.8","0.2","0.0","7.3"
"Anthony Sherman","KC","RB124","3.4","14.0","0.1","4.3","36.9","0.2","0.0","6.9"
"Rodney Anderson","CIN","RB125","8.0","32.7","0.2","2.0","15.9","0.1","0.1","6.6"
"Zach Gentry","PIT","TE107","0.0","0.0","0.0","3.9","42.5","0.4","0.0","6.5"
"Byron Pringle","KC","WR152","0.0","0.0","0.0","3.5","46.0","0.3","0.0","6.5"
"John Hightower","PHI","WR153","2.1","12.4","0.1","2.4","33.3","0.2","0.0","6.4"
"Marcus Johnson","IND","WR154","0.0","0.0","0.0","3.1","45.8","0.3","0.0","6.2"
"Jordan Scarlett","CAR","RB126","7.2","29.5","0.2","2.2","17.0","0.1","0.0","6.2"
"Chris Lacy","DET","WR155","0.0","0.0","0.0","3.3","44.9","0.3","0.0","6.2"
"Cedrick Wilson","DAL","WR156","0.0","0.0","0.0","3.3","43.5","0.3","0.0","6.0"
"Brandon Zylstra","CAR","WR157","0.0","0.0","0.0","3.6","46.3","0.2","0.0","6.0"
"Robert Tonyan","GB","TE108","0.0","0.0","0.0","3.5","41.5","0.3","0.0","6.0"
"Carson Meier","ATL","TE109","0.0","0.0","0.0","4.0","42.1","0.3","0.0","5.9"
"Darrell Daniels","ARI","TE110","0.0","0.0","0.0","3.4","37.8","0.4","0.0","5.9"
"Equanimeous St. Brown","GB","WR158","0.0","0.0","0.0","3.2","43.9","0.3","0.0","5.9"
"Laquon Treadwell","ATL","WR159","0.0","0.0","0.0","3.9","44.2","0.2","0.0","5.8"
"Johnny Mundt","LAR","TE111","0.0","0.0","0.0","3.8","42.4","0.3","0.0","5.7"
"Chad Beebe","MIN","WR160","0.0","0.0","0.0","3.2","42.8","0.2","0.0","5.6"
"DeAndre Carter","HOU","WR161","0.0","0.0","0.0","3.6","42.0","0.2","0.0","5.6"
"Damiere Byrd","NE","WR162","0.0","0.0","0.0","3.6","43.6","0.2","0.0","5.6"
"Isaiah Ford","MIA","WR163","0.0","0.0","0.0","3.6","42.6","0.2","0.0","5.5"
"Nsimba Webster","LAR","WR164","0.0","0.0","0.0","3.4","43.1","0.2","0.0","5.5"
"Braxton Berrios","NYJ","WR165","0.0","0.0","0.0","3.3","41.7","0.2","0.0","5.4"
"Richard Rodgers","WAS","TE112","0.0","0.0","0.0","3.7","41.4","0.2","0.0","5.4"
"Trevon Wesco","NYJ","TE113","0.0","0.0","0.0","3.5","39.1","0.2","0.0","5.3"
"Pharoh Cooper","CAR","WR166","0.0","0.0","0.0","3.9","41.4","0.2","0.0","5.3"
"Rashard Davis","TEN","WR167","0.0","0.0","0.0","2.8","36.6","0.3","0.0","5.3"
"Daniel Brown","NYJ","TE114","0.0","0.0","0.0","3.6","37.3","0.3","0.0","5.3"
"Donovan Peoples-Jones","CLE","WR168","0.0","0.0","0.0","3.0","38.1","0.2","0.0","5.2"
"Keke Coutee","HOU","WR169","0.0","0.0","0.0","3.6","38.2","0.2","0.0","5.2"
"De'Anthony Thomas","BAL","WR170","0.0","0.0","0.0","3.1","35.7","0.3","0.0","5.1"
"Travis Benjamin","SF","WR171","0.0","0.0","0.0","2.7","38.3","0.2","0.0","5.1"
"Darius Jennings","LAC","WR172","0.0","0.0","0.0","3.1","37.7","0.2","0.0","5.0"
"Patrick DiMarco","BUF","RB127","2.1","8.5","0.1","3.7","31.7","0.1","0.0","5.0"
"Chris Moore","BAL","WR173","0.0","0.0","0.0","2.7","33.7","0.3","0.0","5.0"
"Mason Schreck","CIN","TE115","0.0","0.0","0.0","3.5","37.2","0.2","0.0","5.0"
"Tim Patrick","DEN","WR174","0.0","0.0","0.0","3.0","37.6","0.2","0.0","5.0"
"Lee Smith","BUF","TE116","0.0","0.0","0.0","3.5","33.3","0.3","0.0","5.0"
"K.J. Hill","LAC","WR175","0.0","0.0","0.0","3.0","36.4","0.2","0.0","4.7"
"Keith Smith","ATL","RB128","3.6","14.7","0.1","2.4","19.5","0.1","0.0","4.4"
"Jakob Johnson","NE","RB129","2.0","8.2","0.1","2.1","18.1","0.1","0.0","3.4"
"Lil'Jordan Humphrey","NO","WR176","0.0","0.0","0.0","1.7","21.6","0.2","0.0","3.2"
"Antony Auclair","TB","TE117","0.0","0.0","0.0","2.0","20.6","0.2","0.0","3.2"
"Quez Watkins","PHI","WR177","0.0","0.0","0.0","1.9","22.8","0.2","0.0","3.2"
"Deon Cain","PIT","WR178","0.0","0.0","0.0","1.7","22.3","0.2","0.0","3.1"
"Matt Lengel","IND","TE118","0.0","0.0","0.0","1.8","20.0","0.2","0.0","2.9"
"Collin Johnson","JAC","WR179","0.0","0.0","0.0","1.6","22.7","0.1","0.0","2.9"
"Cody Core","NYG","WR180","0.0","0.0","0.0","1.6","20.3","0.1","0.0","2.7"
"Steven Mitchell Jr.","HOU","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Moritz Bohringer","CIN","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Foster","BUF","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaac Whitney","HOU","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"De'Lance Turner","MIA","RB130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quincy Adeboyejo","NE","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jerome Cunningham","WAS","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trenton Irwin","CIN","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damion Willis","CIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troymaine Pope","LAC","RB131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Terry Godwin","JAC","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quadree Henderson","PIT","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kerrith Whyte Jr.","PIT","RB132","8.1","34.8","0.2","0.0","0.0","0.0","0.0","0.0"
"Andre Roberts","BUF","WR190","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jason Vander Laan","NO","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Diontae Spencer","DEN","WR191","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C.J. Prosise","SEA","RB133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Temarrick Hemingway","CAR","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J'Mon Moore","CLE","WR192","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Burton","NO","RB134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaydon Mickens","TB","WR193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Khalfani Muhammad","DEN","RB135","2.1","8.2","0.1","0.0","0.0","0.0","0.0","0.0"
"Chad Williams","IND","WR194","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tevin Jones","DAL","WR195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Anderson","LAC","TE122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Sims","WAS","WR196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim White","NO","WR197","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Edmunds","PIT","RB136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trent Sherfield","ARI","WR198","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cethan Carter","CIN","TE123","0.0","0.0","0.0","4.1","34.8","0.1","0.0","0.0"
"Senorise Perry","TEN","RB137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Freddie Swain","SEA","WR199","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keelan Doss","LV","WR200","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Leggett","TB","TE124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Juwann Winfree","DEN","WR201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chandler Cox","MIA","RB138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Batson","TEN","WR202","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Davis","CHI","WR203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jamize Olawale","DAL","RB139","0.0","0.0","0.0","2.1","19.1","0.1","0.0","0.0"
"Greg Dortch","LAR","WR204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Khari Blasingame","TEN","RB140","0.0","0.0","0.0","6.9","60.1","0.4","0.0","0.0"
"Fred Brown","DEN","WR205","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devante Mays","JAC","RB141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"James Looney","GB","DT2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jester Weah","WAS","WR206","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damarea Crockett","GB","RB142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Davis","PHI","WR207","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roosevelt Nix","IND","RB143","0.0","0.0","0.0","2.0","17.4","0.1","0.0","0.0"
"Deontay Burnett","PHI","WR208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Noah Brown","DAL","WR209","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davion Davis","MIN","WR210","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Butt","DEN","TE125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Doctson","NYJ","WR211","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amara Darboh","PIT","WR212","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Maurice Harris","NO","WR213","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Derrick Willies","CLE","WR214","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"James Proche","BAL","WR215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CLE","TE126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darrius Shepherd","GB","WR216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Eric Saubert","CHI","TE127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Emanuel Hall","WAS","WR217","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rod Smith","LV","RB144","38.6","155.6","1.5","0.0","0.0","0.0","0.1","0.0"
"Bruce Anderson","IND","RB145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ray-Ray McCloud","BUF","WR218","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"K.J. Osborn","MIN","WR219","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Dillon","MIN","TE128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Schnell","TB","WR220","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Garrett Dickerson","NYG","TE129","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Geremy Davis","DET","WR221","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Christian Wade","BUF","RB146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Daurice Fountain","IND","WR222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shaun Wilson","TEN","RB147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chad Hansen","HOU","WR223","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Samaje Perine","CIN","RB148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mack Hollins","MIA","WR224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcus Kemp","KC","WR225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben Koyack","JAC","TE130","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tom Kennedy","DET","WR226","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Penny Hart","SEA","WR227","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Krishawn Hogan","NO","WR228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaac Nauta","DET","TE131","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricardo Louis","MIA","WR229","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Karan Higdon","HOU","RB149","11.5","47.1","0.3","0.0","0.0","0.0","0.1","0.0"
"Dezmon Patmon","IND","WR230","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Bawden","DET","RB150","0.0","0.0","0.0","8.5","71.6","0.4","0.0","0.0"
"J.P. Holtz","CHI","TE132","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C.J. Board","JAC","WR231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dillon Mitchell","MIN","WR232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keith Kirkwood","CAR","WR233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NE","WR234","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Davis","JAC","WR235","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darnell Mooney","CHI","WR236","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jason Moore","LAC","WR237","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Ellis","PHI","TE133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cole Hikutini","DAL","TE134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Jennings Jr.","MIA","WR238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Craig Reynolds","ATL","RB151","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeAndrew White","CAR","WR239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darius Jackson","IND","RB152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaleel Scott","BAL","WR240","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Cantrell","LAC","WR241","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Derek Watt","PIT","RB153","0.0","0.0","0.0","4.4","38.6","0.2","0.0","0.0"
"Jason Croom","BUF","TE135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ashton Dulin","IND","WR242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Victor Bolden Jr.","DET","WR243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Shelton Gibson","PHI","WR244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrie Cleveland","DEN","WR245","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alexander Hollins","MIN","WR246","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malcolm Johnson","GB","RB154","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marcus Green","PHI","WR247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Gaskin","MIA","RB155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tommylee Lewis","NO","WR248","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dexter Williams","GB","RB156","5.8","23.9","0.2","0.0","0.0","0.0","0.0","0.0"
"Javorius Allen","NYG","RB157","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Switzer","PIT","WR249","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Khadarel Hodge","CLE","WR250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
