"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Marvin Jones","DET","WR31","2.0","5.7","0.0","65.3","902.0","7.6","0.6","135.3"
"Marlon Mack","IND","RB29","189.9","829.1","6.6","15.9","116.1","0.3","1.3","133.5"
"D.J. Chark","JAC","WR32","1.8","12.3","0.0","70.6","963.3","6.1","0.9","132.6"
"Sony Michel","NE","RB30","236.4","903.1","5.8","11.2","88.8","0.2","1.9","131.6"
"Kerryon Johnson","DET","RB31","170.4","657.7","6.5","24.4","223.3","1.1","1.4","131.1"
"Jordan Howard","MIA","RB32","177.5","717.7","6.9","21.5","154.1","0.8","1.3","130.8"
"Jonathan Taylor","IND","RB33","182.6","804.0","6.2","13.2","119.3","0.8","1.9","130.6"
"Stefon Diggs","BUF","WR33","6.6","53.0","0.0","63.2","959.9","5.3","1.4","130.4"
"Derrius Guice","WAS","RB34","145.3","642.8","4.8","33.6","305.8","1.5","1.4","130.3"
"Damien Williams","KC","RB35","115.6","490.4","7.1","29.0","231.4","2.6","1.3","127.8"
"Julian Edelman","NE","WR34","9.6","51.3","0.6","80.9","937.2","4.3","0.9","126.8"
"Kareem Hunt","CLE","RB36","98.1","446.5","4.1","52.5","462.1","2.3","1.3","126.8"
"Tyler Boyd","CIN","WR35","3.5","21.2","0.0","80.6","949.0","5.0","1.3","124.7"
"Zach Ertz","PHI","TE4","0.0","0.0","0.0","84.7","873.9","6.4","0.7","124.4"
"Latavius Murray","NO","RB37","150.0","633.1","6.2","25.8","181.7","1.0","1.3","121.9"
"Darren Waller","LV","TE5","0.0","0.0","0.0","78.5","950.5","4.6","0.7","120.9"
"Phillip Lindsay","DEN","RB38","146.9","678.1","4.6","36.9","238.6","0.5","1.2","119.5"
"Ke'Shawn Vaughn","TB","RB39","145.5","601.9","5.3","25.4","235.6","1.1","1.8","118.3"
"Sterling Shepard","NYG","WR36","7.2","57.9","0.1","74.9","822.5","4.9","0.6","116.9"
"Preston Williams","MIA","WR37","1.0","2.0","0.0","63.3","863.7","5.4","1.2","116.7"
"Darrell Henderson","LAR","RB40","151.2","608.9","4.4","29.3","252.4","1.2","1.4","116.5"
