,Player,Tm,Pos,Age,ADP,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
58,Robert Woods,LAR,WR,27,42.2,0,0,0,0,17,115,139,90,1134,12.6,0,0,0,0,0,115,1,17,1134,2,232.9
17,Chris Carson,SEA,RB,25,26.5,0,0,0,0,278,1230,47,37,266,7.19,7,4,0,0,0,1230,7,278,266,2,232.6
32,Mike Evans,TAM,WR,26,20.2,0,0,0,0,0,0,118,67,1157,17.27,0,0,0,0,0,0,0,0,1157,8,230.7
57,D.J. Moore,CAR,WR,22,67.2,0,0,0,0,6,40,135,87,1175,13.51,2,1,0,0,0,40,0,6,1175,4,230.5
84,Baker Mayfield,CLE,QB,24,63.2,317,534,3827,21,28,141,0,0,0,0,6,2,3827,22,534,141,3,28,0,0,227.18
22,Joe Mixon,CIN,RB,23,18.4,0,0,0,0,278,1137,45,35,287,8.2,0,0,0,0,0,1137,5,278,287,3,225.4
86,Drew Brees,NOR,QB,40,73.9,281,378,2979,4,9,-4,0,0,0,0,0,0,2979,27,378,-4,1,9,0,0,224.76
45,DJ Chark,JAX,WR,23,#N/A,0,0,0,0,2,20,118,73,1008,13.81,0,0,0,0,0,20,0,2,1008,8,223.8
85,Gardner Minshew,JAX,QB,23,#N/A,285,470,3271,6,67,344,0,0,0,0,13,7,3271,21,470,344,0,67,0,0,223.24
67,Tyler Boyd,CIN,WR,25,51.5,0,0,0,0,4,23,148,90,1046,11.62,2,2,0,0,0,23,0,4,1046,5,222.9
15,George Kittle,SFO,TE,26,28.3,0,0,0,0,5,22,107,85,1053,12.39,1,0,0,0,0,22,0,5,1053,5,222.5
50,Courtland Sutton,DEN,WR,24,126.2,1,1,38,0,3,17,124,72,1112,15.44,2,0,38,0,1,17,0,3,1112,6,222.42
87,Ryan Tannehill,TEN,QB,31,#N/A,201,286,2742,6,43,185,0,0,0,0,6,3,2742,22,286,185,4,43,0,0,222.18
18,Darren Waller,OAK,TE,27,155.8,0,0,0,0,2,5,117,90,1145,12.72,1,1,0,0,0,5,0,2,1145,3,221
52,John Brown,BUF,WR,29,136.2,1,1,28,0,2,7,115,72,1060,14.72,0,0,28,1,1,7,0,2,1060,6,219.82
23,Todd Gurley,LAR,RB,25,16,0,0,0,0,223,857,49,31,207,6.68,3,2,0,0,0,857,12,223,207,2,217.4
33,A.J. Brown,TEN,WR,22,#N/A,0,0,0,0,3,60,84,52,1051,20.21,1,0,0,0,0,60,1,3,1051,8,217.1
37,Miles Sanders,PHI,RB,22,59,0,0,0,0,179,818,63,50,509,10.18,2,1,0,0,0,818,3,179,509,3,216.7
88,Jacoby Brissett,IND,QB,27,#N/A,272,447,2942,6,56,228,1,1,2,2,7,5,2942,18,447,228,4,56,2,0,215.68
21,Zach Ertz,PHI,TE,29,33.5,0,0,0,0,0,0,135,88,916,10.41,1,1,0,0,0,0,0,0,916,6,213.6
62,Le'Veon Bell,NYJ,RB,27,8.8,0,0,0,0,245,789,78,66,461,6.98,1,1,0,0,0,789,3,245,461,1,213
