,Player,Team,Pos,PassYds,PassTDs,Ints,RushYds,RushTDs,FumLost,G,Rec,RecYds,RecTDs,Opp,Week,TeamRec/G,TeamPassYds/G,TeamPassTDs/G,TeamInts/G,TeamRushTDs/G,TeamRushYds/G,% of TeamPassYds,% of TeamPassTDs,% of TeamInts,% of TeamRushYds,% of TeamRushTDs,% of TeamRec,% of TeamRecYds,% of TeamRecTDs,RecAllowed/G,PassYdsAllowed/G,PassTDsAllowed/G,IntsCaused/G,RushTDsAllowed/G,RushYdsAllowed/G,DI PassYds,DI PassTDs,DI Ints,DI RushYds,DI RushTDs,DI Rec,DI RecYds,DI RecTDs,HPPR Average Performance,HPPR Defense Ceiling,HPPR Opportunity Differential,PPR Average Performance,PPR Defense Ceiling,PPR Opportunity Differential
135,Tony Pollard,DAL,RB,0,0,0,8,0,0,2,3,12.5,0,SEA,3,29.5,358,1,0,2.5,130.5,0,0,0,0.061302681992337,0,0.101694915254237,0.034916201117319,0,33.5,423.5,1.5,1,1.5,69.5,0,0,0,4.26053639846743,0,3.40677966101695,14.7870111731844,0,3.55,3.60814458767365,0.058144587673654,5.05,5.31153441818213,0.261534418182129
136,Nick Vannett,DEN,TE,0,0,0,0,0,0,2,1,-3,0,TB,3,20.5,246,1.5,0.5,0.5,105.5,0,0,0,0,0,0.048780487804878,-0.01219512195122,0,26,282.5,1,1,1.5,84.5,0,0,0,0,0,1.26829268292683,-3.44512195121951,0,0.2,0.289634146341463,0.089634146341464,0.7,0.923780487804878,0.223780487804878
137,Nelson Agholor,LV,WR,0,0,0,0,0,0,2,2,21,0.5,NE,3,25,260.5,2,0,2,124.5,0,0,0,0,0,0.08,0.080614203454895,0.25,20.5,239.5,2.5,2,0.5,120.5,0,0,0,0,0,1.64,19.3071017274472,0.625,6.1,6.50071017274472,0.400710172744723,7.1,7.32071017274472,0.220710172744722
138,Randall Cobb,HOU,WR,0,0,0,0,0,0,2,7,41,0,PIT,3,22.5,264,1,1,1,84.5,0,0,0,0,0,0.311111111111111,0.15530303030303,0,22.5,277.5,2,1.5,0,66.5,0,0,0,0,0,7,43.0965909090909,0,7.6,7.80965909090909,0.20965909090909,11.1,11.3096590909091,0.209659090909088
139,Patrick Laird,MIA,RB,0,0,0,0,0,0,2,2,4.5,0,JAC,3,25.5,259.5,1,1.5,1,93,0,0,0,0,0,0.07843137254902,0.017341040462428,0,27,301,2.5,1,0.5,105.5,0,0,0,0,0,2.11764705882353,5.21965317919075,0,1.45,1.58078884733084,0.13078884733084,2.45,2.6396123767426,0.189612376742605
140,Latavius Murray,NO,RB,0,0,0,31,0,0,2,2,9.5,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0.319587628865979,0,0.088888888888889,0.037254901960784,0,19.5,251.5,2,1,1.5,111.5,0,0,0,35.6340206185567,0,1.73333333333333,9.36960784313725,0,5.05,5.36702951283606,0.317029512836062,6.05,6.23369617950273,0.183696179502729
141,Lamical Perine,NYJ,RB,0,0,0,17,0,0,1,0,0,0,IND,3,21,197,1,0.5,0.5,78,0,0,0,0.217948717948718,0,0,0,0,15,143,1.5,1.5,0.5,85.5,0,0,0,18.6346153846154,0,0,0,0,1.7,1.86346153846154,0.163461538461538,1.7,1.86346153846154,0.163461538461538
142,Royce Freeman,DEN,RB,0,0,0,10,0,0,2,1,6,0,TB,3,20.5,246,1.5,0.5,0.5,105.5,0,0,0,0.09478672985782,0,0.048780487804878,0.024390243902439,0,26,282.5,1,1,1.5,84.5,0,0,0,8.00947867298578,0,1.26829268292683,6.89024390243903,0,2.1,2.1241185990059,0.024118599005895,2.6,2.75826494046931,0.15826494046931
143,Taysom Hill,NO,QB,19,0,0,10.5,0,0,2,0,0,0,GB,3,22.5,255,1.5,0.5,1.5,97,0.074509803921569,0,0,0.108247422680412,0,0,0,0,19.5,251.5,2,1,1.5,111.5,18.7392156862745,0,0,12.069587628866,0,0,0,0,1.81,1.95652739033758,0.146527390337579,1.81,1.95652739033758,0.146527390337579
144,Rex Burkhead,NE,RB,0,0,0,17,0,0,2,4,23.5,0,LV,3,22.5,276,0.5,0.5,2.5,142,0,0,0,0.119718309859155,0,0.177777777777778,0.085144927536232,0,24,290.5,1,0.5,2,120.5,0,0,0,14.4260563380282,0,4.26666666666667,24.7346014492754,0,6.05,6.04939911206369,-0.000600887936314,8.05,8.18273244539702,0.13273244539702
145,Khari Blasingame,TEN,RB,0,0,0,0,0,0,2,1,2.5,0,MIN,3,23.5,244,3,0,0,126.5,0,0,0,0,0,0.042553191489362,0.010245901639344,0,25.5,289,2.5,0.5,1,154.5,0,0,0,0,0,1.08510638297872,2.96106557377049,0,0.75,0.838659748866411,0.088659748866411,1.25,1.38121294035577,0.131212940355773
146,Virgil Green,LAC,TE,0,0,0,0,0,0,2,1,5,0,CAR,3,19,259.5,0.5,0.5,1,169,0,0,0,0,0,0.052631578947369,0.019267822736031,0,22.5,228,1,0.5,3,127.5,0,0,0,0,0,1.18421052631579,4.39306358381503,0,1,1.0314116215394,0.031411621539398,1.5,1.62351688469729,0.123516884697292
147,Marlon Mack,IND,RB,0,0,0,26,0,0,1,3,30,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0.217573221757322,0,0.109090909090909,0.103986135181976,0,27.5,257,2,0.5,1.5,140,0,0,0,30.4602510460251,0,3,26.7244367417678,0,7.1,7.21846877877929,0.118468778779288,8.6,8.71846877877929,0.118468778779288
148,Jason Huntley,PHI,RB,0,0,0,1,0,0,1,0,0,0,CIN,3,25,256,1,2,1,89,0,0,0,0.01123595505618,0,0,0,0,16,213.5,1,0.5,2,185,0,0,0,2.07865168539326,0,0,0,0,0.1,0.207865168539326,0.107865168539326,0.1,0.207865168539326,0.107865168539326
149,Senorise Perry,TEN,RB,0,0,0,4.5,0,0,2,0,0,0,MIN,3,23.5,244,3,0,0,126.5,0,0,0,0.035573122529644,0,0,0,0,25.5,289,2.5,0.5,1,154.5,0,0,0,5.49604743083004,0,0,0,0,0.45,0.549604743083004,0.099604743083004,0.45,0.549604743083004,0.099604743083004
150,Adam Shaheen,MIA,TE,0,0,0,0,0,0,2,1,2,0,JAC,3,25.5,259.5,1,1.5,1,93,0,0,0,0,0,0.03921568627451,0.007707129094412,0,27,301,2.5,1,0.5,105.5,0,0,0,0,0,1.05882352941176,2.31984585741811,0,0.7,0.761396350447694,0.061396350447694,1.2,1.29080811515358,0.090808115153576
151,Ryan Tannehill,TEN,QB,244,3,0,13,0,0,2,0,0,0,MIN,3,23.5,244,3,0,0,126.5,1,1,0,0.102766798418972,0,0,0,0,25.5,289,2.5,0.5,1,154.5,289,2.5,0,15.8774703557312,0,0,0,0,23.06,23.1477470355731,0.087747035573127,23.06,23.1477470355731,0.087747035573127
152,Jakobi Meyers,NE,WR,0,0,0,0,0,0,2,1,3.5,0,LV,3,22.5,276,0.5,0.5,2.5,142,0,0,0,0,0,0.044444444444445,0.01268115942029,0,24,290.5,1,0.5,2,120.5,0,0,0,0,0,1.06666666666667,3.6838768115942,0,0.85,0.901721014492754,0.051721014492754,1.35,1.43505434782609,0.085054347826087
153,Jeremy McNichols,TEN,RB,0,0,0,3.5,0,0,2,0,0,0,MIN,3,23.5,244,3,0,0,126.5,0,0,0,0.027667984189723,0,0,0,0,25.5,289,2.5,0.5,1,154.5,0,0,0,4.27470355731225,0,0,0,0,0.35,0.427470355731225,0.077470355731225,0.35,0.427470355731225,0.077470355731225
154,Tim Boyle,GB,QB,0,0,0,-1.5,0,0,2,0,0,0,NO,3,25,302,3,0,1.5,208.5,0,0,0,-0.007194244604317,0,0,0,0,25.5,260.5,2.5,1,1,101,0,0,0,-0.726618705035971,0,0,0,0,-0.15,-0.072661870503597,0.077338129496403,-0.15,-0.072661870503597,0.077338129496403
155,Deshaun Watson,HOU,QB,264,1,2,22,0.5,0,2,0,0,0,PIT,3,22.5,264,1,1,1,84.5,1,1,2,0.260355029585799,0.5,0,0,0,22.5,277.5,2,1.5,0,66.5,277.5,2,3,17.3136094674556,0,0,0,0,17.76,17.8313609467456,0.071360946745561,17.76,17.8313609467456,0.071360946745561
156,Robert Griffin III,BAL,QB,9,0,0,-1,0,0,1,0,0,0,KC,3,19.5,244,2,0,1.5,170.5,0.036885245901639,0,0,-0.005865102639296,0,0,0,0,21,282,1,1,1.5,150.5,10.4016393442623,0,0,-0.882697947214076,0,0,0,0,0.26,0.327795779049084,0.067795779049084,0.26,0.327795779049084,0.067795779049084
