,Player,Team,Pos,PassYds,PassTDs,Ints,RushYds,RushTDs,FumLost,G,Rec,RecYds,RecTDs,Opp,Week,TeamRec/G,TeamPassYds/G,TeamPassTDs/G,TeamInts/G,TeamRushTDs/G,TeamRushYds/G,% of TeamPassYds,% of TeamPassTDs,% of TeamInts,% of TeamRushYds,% of TeamRushTDs,% of TeamRec,% of TeamRecYds,% of TeamRecTDs,RecAllowed/G,PassYdsAllowed/G,PassTDsAllowed/G,IntsCaused/G,RushTDsAllowed/G,RushYdsAllowed/G,DI PassYds,DI PassTDs,DI Ints,DI RushYds,DI RushTDs,DI Rec,DI RecYds,DI RecTDs,HPPR Average Performance,HPPR Defense Ceiling,HPPR Opportunity Differential,PPR Average Performance,PPR Defense Ceiling,PPR Opportunity Differential
173,Justin Jackson,LAC,RB,0,0,0,4,0,0,1,0,0,0,CAR,3,19,259.5,0.5,0.5,1,169,0,0,0,0.023668639053255,0,0,0,0,22.5,228,1,0.5,3,127.5,0,0,0,3.01775147928994,0,0,0,0,0.4,0.301775147928994,-0.098224852071006,0.4,0.301775147928994,-0.098224852071006
174,Collin Johnson,JAC,WR,0,0,0,0,0,0,2,1,7,0,MIA,3,24.5,256,3,1,0.5,128,0,0,0,0,0,0.040816326530612,0.02734375,0,19.5,286,2,0,1.5,164,0,0,0,0,0,0.795918367346939,7.8203125,0,1.2,1.17999043367347,-0.020009566326531,1.7,1.57794961734694,-0.122050382653061
175,J.J. Taylor,NE,RB,0,0,0,13.5,0,0,2,1,2,0,LV,3,22.5,276,0.5,0.5,2.5,142,0,0,0,0.095070422535211,0,0.044444444444445,0.007246376811594,0,24,290.5,1,0.5,2,120.5,0,0,0,11.455985915493,0,1.06666666666667,2.10507246376812,0,2.05,1.88943917125944,-0.16056082874056,2.55,2.42277250459277,-0.127227495407226
176,Adrian Peterson,DET,RB,0,0,0,67,0,0,2,3,10.5,0,ARI,3,22,270.5,1.5,1,1,113.5,0,0,0,0.590308370044053,0,0.136363636363636,0.038817005545287,0,19,241,1.5,0,0.5,120,0,0,0,70.8370044052864,0,2.59090909090909,9.35489833641405,0,9.25,9.31464481962459,0.064644819624586,10.75,10.6100993650791,-0.139900634920869
177,Josh Hill,NO,TE,0,0,0,0,0,0,2,1,8,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0,0,0.044444444444445,0.031372549019608,0,19.5,251.5,2,1,1.5,111.5,0,0,0,0,0,0.866666666666667,7.89019607843137,0,1.3,1.22235294117647,-0.077647058823529,1.8,1.6556862745098,-0.144313725490196
178,Josiah Deguara,GB,TE,0,0,0,0,0,0,1,1,12,0,NO,3,25,302,3,0,1.5,208.5,0,0,0,0,0,0.04,0.039735099337748,0,25.5,260.5,2.5,1,1,101,0,0,0,0,0,1.02,10.3509933774834,0,1.7,1.54509933774834,-0.154900662251656,2.2,2.05509933774834,-0.144900662251656
179,Adam Trautman,NO,TE,0,0,0,0,0,0,2,1,8.5,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0,0,0.044444444444445,0.033333333333333,0,19.5,251.5,2,1,1.5,111.5,0,0,0,0,0,0.866666666666667,8.38333333333333,0,1.35,1.27166666666667,-0.078333333333333,1.85,1.705,-0.145
180,Seth Roberts,CAR,WR,0,0,0,0,0,0,2,1,2.5,0,LAC,3,27.5,318,0.5,1,2,108,0,0,0,0,0,0.036363636363636,0.007861635220126,0,25,247.5,1,0.5,0.5,123.5,0,0,0,0,0,0.909090909090909,1.94575471698113,0,0.75,0.649120926243568,-0.100879073756432,1.25,1.10366638078902,-0.146333619210978
181,Mark Ingram II,BAL,RB,0,0,0,42,0.5,0,2,2,11,0,KC,3,19.5,244,2,0,1.5,170.5,0,0,0,0.24633431085044,0.333333333333333,0.102564102564103,0.045081967213115,0,21,282,1,1,1.5,150.5,0,0,0,37.0733137829912,0.5,2.15384615384615,12.7131147540984,0,9.3,9.05556593063203,-0.244434069367966,10.3,10.1324890075551,-0.167510992444889
182,Bruce Miller,JAC,TE,0,0,0,0,0,0,2,1,1,0,MIA,3,24.5,256,3,1,0.5,128,0,0,0,0,0,0.040816326530612,0.00390625,0,19.5,286,2,0,1.5,164,0,0,0,0,0,0.795918367346939,1.1171875,0,0.6,0.509677933673469,-0.090322066326531,1.1,0.907637117346938,-0.192362882653061
183,Keith Smith,ATL,RB,0,0,0,1,0,0,2,1,0.5,0,CHI,3,30.5,361.5,3,0.5,0.5,92.5,0,0,0,0.010810810810811,0,0.032786885245902,0.001383125864454,0,24.5,269,0.5,1,1,106.5,0,0,0,1.15135135135135,0,0.80327868852459,0.372060857538036,0,0.65,0.553980565151234,-0.096019434848766,1.15,0.955619909413529,-0.194380090586471
184,Jacob Hollister,SEA,TE,0,0,0,0,0,0,2,1,4.5,0,DAL,3,26,305,4.5,0.5,0.5,119,0,0,0,0,0,0.038461538461539,0.014754098360656,0,22,274,2,0.5,1,133,0,0,0,0,0,0.846153846153846,4.04262295081967,0,0.95,0.82733921815889,-0.12266078184111,1.45,1.25041614123581,-0.199583858764187
185,Travis Homer,SEA,RB,0,0,0,10,0,0,2,2,2,0,DAL,3,26,305,4.5,0.5,0.5,119,0,0,0,0.084033613445378,0,0.076923076923077,0.00655737704918,0,22,274,2,0.5,1,133,0,0,0,11.1764705882353,0,1.69230769230769,1.79672131147541,0,2.2,2.14347303612492,-0.056526963875083,3.2,2.98962688227876,-0.210373117721237
186,Levine Toilolo,NYG,TE,0,0,0,0,0,0,2,1,6.5,0,SF,3,25.5,260,1,1.5,0.5,52,0,0,0,0,0,0.03921568627451,0.025,0,23.5,204.5,1,0.5,1,142,0,0,0,0,0,0.92156862745098,5.1125,0,1.15,0.97203431372549,-0.17796568627451,1.65,1.43281862745098,-0.217181372549019
187,J.K. Dobbins,BAL,RB,0,0,0,35,1,0,2,1,6.5,0,KC,3,19.5,244,2,0,1.5,170.5,0,0,0,0.205278592375367,0.666666666666667,0.051282051282051,0.026639344262295,0,21,282,1,1,1.5,150.5,0,0,0,30.8944281524927,1,1.07692307692308,7.51229508196721,0,10.65,10.3791338619075,-0.270866138092474,11.15,10.9175954003691,-0.232404599630936
188,Alex Armah,CAR,RB,0,0,0,0.5,0,0,2,1,7,0,LAC,3,27.5,318,0.5,1,2,108,0,0,0,0.00462962962963,0,0.036363636363636,0.022012578616352,0,25,247.5,1,0.5,0.5,123.5,0,0,0,0.571759259259259,0,0.909090909090909,5.44811320754717,0,1.25,1.0565327012261,-0.193467298773903,1.75,1.51107815577155,-0.238921844228448
189,Parris Campbell,IND,WR,0,0,0,8,0,0,2,6,35.5,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0.066945606694561,0,0.218181818181818,0.123050259965338,0,27.5,257,2,0.5,1.5,140,0,0,0,9.37238493723849,0,6,31.6239168110919,0,7.35,7.09963017483303,-0.250369825166965,10.35,10.099630174833,-0.250369825166965
190,Michael Pittman Jr.,IND,WR,0,0,0,0,0,0,2,6,23.5,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0,0,0.218181818181818,0.081455805892548,0,27.5,257,2,0.5,1.5,140,0,0,0,0,0,6,20.9341421143848,0,5.35,5.09341421143848,-0.256585788561525,8.35,8.09341421143848,-0.256585788561525
191,Alvin Kamara,NO,RB,0,0,0,47.5,1.5,0,2,14,73,0.5,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0.489690721649485,1,0.622222222222222,0.286274509803922,0.333333333333333,19.5,251.5,2,1,1.5,111.5,0,0,0,54.6005154639175,1.5,12.1333333333333,71.9980392156863,0.666666666666667,31.05,31.726522134627,0.676522134627046,38.05,37.7931888012937,-0.256811198706281
192,Gardner Minshew II,JAC,QB,256,3,2,19,0,0,2,0,0,0,MIA,3,24.5,256,3,1,0.5,128,1,1,2,0.1484375,0,0,0,0,19.5,286,2,0,1.5,164,286,2,0,24.34375,0,0,0,0,22.14,21.874375,-0.265625000000004,22.14,21.874375,-0.265625000000004
193,Trent Taylor,SF,WR,0,0,0,0,0,0,2,4,8.5,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0,0,0.195121951219512,0.036876355748373,0,19.5,209.5,2.5,1,0,138,0,0,0,0,0,3.80487804878049,7.72559652928416,0,2.85,2.67499867731866,-0.17500132268134,4.85,4.5774377017089,-0.272562298291096
194,Brandon Aiyuk,SF,WR,0,0,0,0,0,0,1,2,21,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0,0,0.097560975609756,0.091106290672451,0,19.5,209.5,2.5,1,0,138,0,0,0,0,0,1.90243902439024,19.0867678958785,0,3.1,2.85989630178297,-0.240103698217025,4.1,3.8111158139781,-0.288884186021903
195,Duke Johnson Jr.,HOU,RB,0,0,0,14,0,0,1,0,0,0,PIT,3,22.5,264,1,1,1,84.5,0,0,0,0.165680473372781,0,0,0,0,22.5,277.5,2,1.5,0,66.5,0,0,0,11.0177514792899,0,0,0,0,1.4,1.10177514792899,-0.298224852071006,1.4,1.10177514792899,-0.298224852071006
196,Foster Moreau,LV,TE,0,0,0,0,0,0,2,1,15.5,0,NE,3,25,260.5,2,0,2,124.5,0,0,0,0,0,0.04,0.059500959692898,0,20.5,239.5,2.5,2,0.5,120.5,0,0,0,0,0,0.82,14.2504798464491,0,2.05,1.83504798464491,-0.214952015355086,2.55,2.24504798464491,-0.304952015355086
197,Ty Montgomery,NO,RB,0,0,0,-2,0,0,2,2,12.5,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,-0.020618556701031,0,0.088888888888889,0.049019607843137,0,19.5,251.5,2,1,1.5,111.5,0,0,0,-2.29896907216495,0,1.73333333333333,12.328431372549,0,2.05,1.86961289670507,-0.180387103294926,3.05,2.73627956337174,-0.313720436628259
198,Willie Snead IV,BAL,WR,0,0,0,0,0,0,2,6,46.5,0.5,KC,3,19.5,244,2,0,1.5,170.5,0,0,0,0,0,0.307692307692308,0.190573770491803,0.25,21,282,1,1,1.5,150.5,0,0,0,0,0,6.46153846153846,53.7418032786885,0.25,10.65,10.1049495586381,-0.545050441361918,13.65,13.3357187894073,-0.314281210592686
199,Chris Manhertz,CAR,TE,0,0,0,0,0,0,2,2,6,0,LAC,3,27.5,318,0.5,1,2,108,0,0,0,0,0,0.072727272727273,0.018867924528302,0,25,247.5,1,0.5,0.5,123.5,0,0,0,0,0,1.81818181818182,4.66981132075472,0,1.6,1.37607204116638,-0.223927958833619,2.6,2.28516295025729,-0.31483704974271
200,Ronald Jones II,TB,RB,0,0,0,44.5,0.5,0,2,4,10,0,DEN,3,23,228,1.5,1.5,2,104,0,0,0,0.427884615384615,0.25,0.173913043478261,0.043859649122807,0,29,280,2,0.5,0.5,119.5,0,0,0,51.1322115384615,0.125,5.04347826086957,12.280701754386,0,10.45,9.61303045971953,-0.836969540280467,12.45,12.1347695901543,-0.315230409845684
201,Jaylen Samuels,PIT,RB,0,0,0,1,0,0,2,2,2.5,0,HOU,3,25,270,2.5,0.5,0.5,125,0,0,0,0.008,0,0.08,0.009259259259259,0,21,207.5,2,0,1,198,0,0,0,1.584,0,1.68,1.9212962962963,0,1.35,1.19052962962963,-0.159470370370371,2.35,2.03052962962963,-0.31947037037037
202,Olamide Zaccheaus,ATL,WR,0,0,0,0,0,0,2,1,5,0,CHI,3,30.5,361.5,3,0.5,0.5,92.5,0,0,0,0,0,0.032786885245902,0.013831258644537,0,24.5,269,0.5,1,1,106.5,0,0,0,0,0,0.80327868852459,3.72060857538036,0,1,0.773700201800331,-0.226299798199669,1.5,1.17533954606263,-0.324660453937374
203,John Hightower,PHI,WR,0,0,0,0,0,0,2,1,-1,0,CIN,3,25,256,1,2,1,89,0,0,0,0,0,0.04,-0.00390625,0,16,213.5,1,0.5,2,185,0,0,0,0,0,0.64,-0.833984375,0,0.4,0.2366015625,-0.1633984375,0.9,0.5566015625,-0.3433984375
204,Ian Thomas,CAR,TE,0,0,0,0,0,0,2,2,8,0,LAC,3,27.5,318,0.5,1,2,108,0,0,0,0,0,0.072727272727273,0.025157232704403,0,25,247.5,1,0.5,0.5,123.5,0,0,0,0,0,1.81818181818182,6.22641509433962,0,1.8,1.53173241852487,-0.268267581475128,2.8,2.44082332761578,-0.359176672384219
205,Darwin Thompson,KC,RB,0,0,0,10.5,0,0,2,0,0,0,BAL,3,25.5,256.5,2.5,0,0.5,145.5,0,0,0,0.072164948453608,0,0,0,0,23,232,1,1,0,94.5,0,0,0,6.81958762886598,0,0,0,0,1.05,0.681958762886598,-0.368041237113402,1.05,0.681958762886598,-0.368041237113402
206,Wayne Gallman,NYG,RB,0,0,0,0,0,0,1,1,14,0,SF,3,25.5,260,1,1.5,0.5,52,0,0,0,0,0,0.03921568627451,0.053846153846154,0,23.5,204.5,1,0.5,1,142,0,0,0,0,0,0.92156862745098,11.0115384615385,0,1.9,1.56193815987934,-0.338061840120664,2.4,2.02272247360483,-0.377277526395174
207,Jason Witten,LV,TE,0,0,0,0,0,0,2,2,2.5,0,NE,3,25,260.5,2,0,2,124.5,0,0,0,0,0,0.08,0.009596928982726,0,20.5,239.5,2.5,2,0.5,120.5,0,0,0,0,0,1.64,2.29846449136276,0,1.25,1.04984644913628,-0.200153550863724,2.25,1.86984644913628,-0.380153550863723
208,Vance McDonald,PIT,TE,0,0,0,0,0,0,2,2,3,0,HOU,3,25,270,2.5,0.5,0.5,125,0,0,0,0,0,0.08,0.011111111111111,0,21,207.5,2,0,1,198,0,0,0,0,0,1.68,2.30555555555556,0,1.3,1.07055555555556,-0.229444444444445,2.3,1.91055555555556,-0.389444444444444
209,Kyle Juszczyk,SF,RB,0,0,0,3.5,0,0,2,3,23.5,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0.022950819672131,0,0.146341463414634,0.101952277657267,0,19.5,209.5,2.5,1,0,138,0,0,0,3.1672131147541,0,2.85365853658537,21.3590021691974,0,4.2,3.87945079668783,-0.320549203312168,5.7,5.30628006498052,-0.393719935019485
210,Devin Singletary,BUF,RB,0,0,0,43,0,0,2,7,21.5,0,LAR,3,28.5,364.5,3,0,0.5,104.5,0,0,0,0.411483253588517,0,0.245614035087719,0.058984910836763,0,25.5,254,0.5,1,1.5,128.5,0,0,0,52.8755980861244,0,6.26315789473684,14.9821673525377,0,9.95,9.91735549123463,-0.032644508765367,13.45,13.0489344386031,-0.401065561396948
211,MyCole Pruitt,TEN,TE,0,0,0,0,0,0,2,1,0.5,0.5,MIN,3,23.5,244,3,0,0,126.5,0,0,0,0,0,0.042553191489362,0.002049180327869,0.166666666666667,25.5,289,2.5,0.5,1,154.5,0,0,0,0,0,1.08510638297872,0.592213114754098,0.416666666666667,3.55,3.10177450296477,-0.448225497035228,4.05,3.64432769445413,-0.405672305545867
212,Deonte Harris,NO,WR,0,0,0,10,0,0,2,4,20,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0.103092783505155,0,0.177777777777778,0.07843137254902,0,19.5,251.5,2,1,1.5,111.5,0,0,0,11.4948453608247,0,3.46666666666667,19.7254901960784,0,5,4.85536688902365,-0.144633110976349,7,6.58870022235699,-0.411299777643015
213,Michael Thomas,NO,WR,0,0,0,0,0,0,1,3,17,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0,0,0.133333333333333,0.066666666666667,0,19.5,251.5,2,1,1.5,111.5,0,0,0,0,0,2.6,16.7666666666667,0,3.2,2.97666666666667,-0.223333333333334,4.7,4.27666666666667,-0.423333333333333
214,Ito Smith,ATL,RB,0,0,0,12,0,0,2,3,1,0,CHI,3,30.5,361.5,3,0.5,0.5,92.5,0,0,0,0.12972972972973,0,0.098360655737705,0.002766251728907,0,24.5,269,0.5,1,1,106.5,0,0,0,13.8162162162162,0,2.40983606557377,0.744121715076072,0,2.8,2.66095182591611,-0.139048174083886,4.3,3.865869858703,-0.434130141297
215,T.Y. Hilton,IND,WR,0,0,0,0,0,0,2,7,40.5,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0,0,0.254545454545454,0.140381282495667,0,27.5,257,2,0.5,1.5,140,0,0,0,0,0,7,36.0779896013865,0,7.55,7.10779896013865,-0.442201039861351,11.05,10.6077989601386,-0.442201039861352
216,Tevin Coleman,SF,RB,0,0,0,15,0,0,2,3,17,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0.098360655737705,0,0.146341463414634,0.073752711496746,0,19.5,209.5,2.5,1,0,138,0,0,0,13.5737704918033,0,2.85365853658537,15.4511930585683,0,4.7,4.32932562332984,-0.370674376670157,6.2,5.75615489162253,-0.443845108377474
217,Kaden Smith,NYG,TE,0,0,0,0,0,0,2,4,8,0,SF,3,25.5,260,1,1.5,0.5,52,0,0,0,0,0,0.156862745098039,0.030769230769231,0,23.5,204.5,1,0.5,1,142,0,0,0,0,0,3.68627450980392,6.29230769230769,0,2.8,2.47236802413273,-0.32763197586727,4.8,4.31550527903469,-0.484494720965309
218,Mecole Hardman,KC,WR,0,0,0,1.5,0,0,2,3,18,0,BAL,3,25.5,256.5,2.5,0,0.5,145.5,0,0,0,0.010309278350516,0,0.117647058823529,0.070175438596491,0,23,232,1,1,0,94.5,0,0,0,0.974226804123711,0,2.70588235294118,16.280701754386,0,3.45,3.07843403232156,-0.371565967678444,4.95,4.43137520879214,-0.518624791207856
219,Gus Edwards,BAL,RB,0,0,0,45,0,0,2,0,0,0,KC,3,19.5,244,2,0,1.5,170.5,0,0,0,0.263929618768328,0,0,0,0,21,282,1,1,1.5,150.5,0,0,0,39.7214076246334,0,0,0,0,4.5,3.97214076246334,-0.527859237536657,4.5,3.97214076246334,-0.527859237536657
220,Jack Doyle,IND,TE,0,0,0,0,0,0,1,3,49,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0,0,0.109090909090909,0.169844020797227,0,27.5,257,2,0.5,1.5,140,0,0,0,0,0,3,43.6499133448874,0,6.4,5.86499133448874,-0.535008665511265,7.9,7.36499133448874,-0.535008665511265
221,Marvin Hall,DET,WR,0,0,0,0,0,0,2,2,25,0.5,ARI,3,22,270.5,1.5,1,1,113.5,0,0,0,0,0,0.090909090909091,0.092421441774492,0.333333333333333,19,241,1.5,0,0.5,120,0,0,0,0,0,1.72727272727273,22.2735674676525,0.5,6.5,6.09099311040161,-0.409006889598386,7.5,6.95462947403798,-0.545370525962023
222,Will Dissly,SEA,TE,0,0,0,0,0,0,2,3,8.5,0,DAL,3,26,305,4.5,0.5,0.5,119,0,0,0,0,0,0.115384615384615,0.027868852459016,0,22,274,2,0.5,1,133,0,0,0,0,0,2.53846153846154,7.63606557377049,0,2.35,2.03283732660782,-0.317162673392181,3.85,3.30206809583859,-0.547931904161412
223,Chris Herndon IV,NYJ,TE,0,0,0,0,0,1,2,7,21,0,IND,3,21,197,1,0.5,0.5,78,0,0,0,0,0,0.333333333333333,0.106598984771574,0,15,143,1.5,1.5,0.5,85.5,0,0,0,0,0,5,15.243654822335,0,3.6,4.0243654822335,0.424365482233503,7.1,6.5243654822335,-0.575634517766497
224,Robert Tonyan,GB,TE,0,0,0,0,0,0,2,2,12.5,0.5,NO,3,25,302,3,0,1.5,208.5,0,0,0,0,0,0.08,0.041390728476821,0.166666666666667,25.5,260.5,2.5,1,1,101,0,0,0,0,0,2.04,10.7822847682119,0.416666666666667,5.25,4.59822847682119,-0.651771523178808,6.25,5.61822847682119,-0.631771523178808
225,George Kittle,SF,TE,0,0,0,9,0,0,1,4,44,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0.059016393442623,0,0.195121951219512,0.190889370932755,0,19.5,209.5,2.5,1,0,138,0,0,0,8.14426229508197,0,3.80487804878049,39.9913232104121,0,7.3,6.71599757493966,-0.584002425060345,9.3,8.6184365993299,-0.6815634006701
226,Chris Conley,JAC,WR,0,0,0,0,0,0,2,5,27,0,MIA,3,24.5,256,3,1,0.5,128,0,0,0,0,0,0.204081632653061,0.10546875,0,19.5,286,2,0,1.5,164,0,0,0,0,0,3.97959183673469,30.1640625,0,5.2,5.00620216836735,-0.193797831632653,7.7,6.99599808673469,-0.704001913265306
227,Mo Alie-Cox,IND,TE,0,0,0,0,0,0,2,7,65.5,0,NYJ,3,27.5,288.5,1,1.5,1,119.5,0,0,0,0,0,0.254545454545454,0.227036395147314,0,27.5,257,2,0.5,1.5,140,0,0,0,0,0,7,58.3483535528596,0,10.05,9.33483535528596,-0.715164644714038,13.55,12.834835355286,-0.71516464471404
228,Josh Adams,NYJ,RB,0,0,0,4,0.5,0,2,2,7,0,IND,3,21,197,1,0.5,0.5,78,0,0,0,0.051282051282051,1,0.095238095238095,0.035532994923858,0,15,143,1.5,1.5,0.5,85.5,0,0,0,4.38461538461538,0.5,1.42857142857143,5.08121827411168,0,5.1,4.66086908015842,-0.43913091984158,6.1,5.37515479444414,-0.724845205555866
229,Cam Newton,NE,QB,276,0.5,1,61,2,0,2,0,0,0,LV,3,22.5,276,0.5,0.5,2.5,142,1,1,2,0.429577464788732,0.8,0,0,0,24,290.5,1,0.5,2,120.5,290.5,1,1,51.7640845070422,1.6,0,0,0,30.14,29.3964084507042,-0.743591549295772,30.14,29.3964084507042,-0.743591549295772
230,Bryan Edwards,LV,WR,0,0,0,0,0,0,2,3,25.5,0,NE,3,25,260.5,2,0,2,124.5,0,0,0,0,0,0.12,0.0978886756238,0,20.5,239.5,2.5,2,0.5,120.5,0,0,0,0,0,2.46,23.4443378119002,0,4.05,3.57443378119002,-0.475566218809981,5.55,4.80443378119002,-0.745566218809982
231,Kendrick Bourne,SF,WR,0,0,0,0,0,0,2,6,50.5,0,NYG,3,20.5,230.5,2,0.5,1,152.5,0,0,0,0,0,0.292682926829268,0.219088937093275,0,19.5,209.5,2.5,1,0,138,0,0,0,0,0,5.70731707317073,45.8991323210412,0,8.05,7.44357176868949,-0.606428231310513,11.05,10.2972303052749,-0.752769694725147
232,Andy Isabella,ARI,WR,0,0,0,0,0,0,2,2,33.5,0,DET,3,26,258,1,1,2,170,0,0,0,0,0,0.076923076923077,0.12984496124031,0,19,241,2.5,0,1,204,0,0,0,0,0,1.46153846153846,31.2926356589147,0,4.35,3.8600327966607,-0.489967203339296,5.35,4.59080202742994,-0.759197972570065
233,Jared Goff,LAR,QB,271,1.5,1,14,0,0,2,0,0,0,BUF,3,20,271,1.5,0.5,2,172,1,1,2,0.081395348837209,0,0,0,0,26,271.5,1.5,0.5,1,75.5,271.5,1.5,1,6.1453488372093,0,0,0,0,17.24,16.4745348837209,-0.765465116279067,17.24,16.4745348837209,-0.765465116279067
234,James O'Shaughnessy,JAC,TE,0,0,0,0,0,0,2,5,20,0,MIA,3,24.5,256,3,1,0.5,128,0,0,0,0,0,0.204081632653061,0.078125,0,19.5,286,2,0,1.5,164,0,0,0,0,0,3.97959183673469,22.34375,0,4.5,4.22417091836735,-0.275829081632653,7,6.21396683673469,-0.786033163265306
235,Darrel Williams,KC,RB,0,0,0,11.5,0,0,2,3,9.5,0,BAL,3,25.5,256.5,2.5,0,0.5,145.5,0,0,0,0.079037800687285,0,0.117647058823529,0.037037037037037,0,23,232,1,1,0,94.5,0,0,0,7.46907216494845,0,2.70588235294118,8.59259259259259,0,3.6,2.95910765222469,-0.640892347775308,5.1,4.31204882869528,-0.787951171304719
236,AJ Dillon,GB,RB,0,0,0,15.5,0,0,2,0,0,0,NO,3,25,302,3,0,1.5,208.5,0,0,0,0.074340527577938,0,0,0,0,25.5,260.5,2.5,1,1,101,0,0,0,7.5083932853717,0,0,0,0,1.55,0.75083932853717,-0.79916067146283,1.55,0.75083932853717,-0.79916067146283
237,Demarcus Robinson,KC,WR,0,0,0,0,0,0,2,6,24,0,BAL,3,25.5,256.5,2.5,0,0.5,145.5,0,0,0,0,0,0.235294117647059,0.093567251461988,0,23,232,1,1,0,94.5,0,0,0,0,0,5.41176470588235,21.7076023391813,0,5.4,4.8766425868593,-0.523357413140696,8.4,7.58252493980048,-0.817475060199518
238,Brian Hill,ATL,RB,0,0,0,13,0,0,2,4,9.5,0,CHI,3,30.5,361.5,3,0.5,0.5,92.5,0,0,0,0.140540540540541,0,0.131147540983607,0.02627939142462,0,24.5,269,0.5,1,1,106.5,0,0,0,14.9675675675676,0,3.21311475409836,7.06915629322268,0,4.25,3.81022976312821,-0.439770236871794,6.25,5.41678714017739,-0.833212859822614
239,Kalen Ballage,NYJ,RB,0,0,0,5,0,0,1,2,12,0,IND,3,21,197,1,0.5,0.5,78,0,0,0,0.064102564102564,0,0.095238095238095,0.060913705583756,0,15,143,1.5,1.5,0.5,85.5,0,0,0,5.48076923076923,0,1.42857142857143,8.71065989847716,0,2.7,2.13342862721035,-0.566571372789647,3.7,2.84771434149607,-0.852285658503933
240,Tre'Quan Smith,NO,WR,0,0,0,0,0,0,2,6,45,0,GB,3,22.5,255,1.5,0.5,1.5,97,0,0,0,0,0,0.266666666666667,0.176470588235294,0,19.5,251.5,2,1,1.5,111.5,0,0,0,0,0,5.2,44.3823529411765,0,7.5,7.03823529411765,-0.461764705882352,10.5,9.63823529411765,-0.861764705882352
241,John Ross,CIN,WR,0,0,0,0,0,0,2,2,8.5,0,PHI,3,30,254.5,1.5,0.5,0.5,95,0,0,0,0,0,0.066666666666667,0.033398821218075,0,18.5,222.5,2,0,2,135.5,0,0,0,0,0,1.23333333333333,7.43123772102161,0,1.85,1.35979043876883,-0.490209561231172,2.85,1.97645710543549,-0.873542894564506
242,Devontae Booker,LV,RB,0,0,0,14,0,0,2,4,14.5,0,NE,3,25,260.5,2,0,2,124.5,0,0,0,0.112449799196787,0,0.16,0.055662188099808,0,20.5,239.5,2.5,2,0.5,120.5,0,0,0,13.5502008032129,0,3.28,13.331094049904,0,4.85,4.32812948531169,-0.521870514688312,6.85,5.96812948531169,-0.881870514688312
243,C.J. Board,NYG,WR,0,0,0,0,0,0,2,5,24.5,0,SF,3,25.5,260,1,1.5,0.5,52,0,0,0,0,0,0.196078431372549,0.094230769230769,0,23.5,204.5,1,0.5,1,142,0,0,0,0,0,4.6078431372549,19.2701923076923,0,4.95,4.23094079939668,-0.719059200603319,7.45,6.53486236802413,-0.915137631975868
244,Sterling Shepard,NYG,WR,0,0,0,3,0,0,2,8,38,0,SF,3,25.5,260,1,1.5,0.5,52,0,0,0,0.057692307692308,0,0.313725490196078,0.146153846153846,0,23.5,204.5,1,0.5,1,142,0,0,0,8.19230769230769,0,7.37254901960784,29.8884615384615,0,8.1,7.49435143288085,-0.605648567119155,12.1,11.1806259426848,-0.919374057315235
245,Christian Kirk,ARI,WR,0,0,0,1.5,0,0,2,3,28.5,0,DET,3,26,258,1,1,2,170,0,0,0,0.008823529411765,0,0.115384615384615,0.11046511627907,0,19,241,2.5,0,1,204,0,0,0,1.8,0,2.19230769230769,26.6220930232558,0,4.5,3.93836314847943,-0.561636851520572,6,5.03451699463327,-0.965483005366726
246,Henry Ruggs III,LV,WR,0,0,0,5.5,0,0,2,4,29.5,0,NE,3,25,260.5,2,0,2,124.5,0,0,0,0.044176706827309,0,0.16,0.113243761996161,0,20.5,239.5,2.5,2,0.5,120.5,0,0,0,5.32329317269076,0,3.28,27.1218809980806,0,5.5,4.88451741707714,-0.615482582922862,7.5,6.52451741707714,-0.975482582922862
247,Curtis Samuel,CAR,WR,0,0,0,15.5,0,0,2,7,25.5,0,LAC,3,27.5,318,0.5,1,2,108,0,0,0,0.143518518518519,0,0.254545454545454,0.080188679245283,0,25,247.5,1,0.5,0.5,123.5,0,0,0,17.724537037037,0,6.36363636363636,19.8466981132075,0,7.6,6.93894169684264,-0.661058303157359,11.1,10.1207598786608,-0.97924012133918
