,Player,Team,PositionPos,Date,Injury
89,Joshua PerkinsJ. Perkins,PHI,TE,08/26/2020,Upper Body
90,Grant DelpitG. Delpit,CLE,DB,08/25/2020,Achilles
91,Johnson BademosiJ. Bademosi,NO,DB,08/24/2020,Undisclosed
92,John FranklinJ. Franklin,TB,WR,08/23/2020,Leg
93,T.J. LoganT. Logan,TB,RB,08/23/2020,Leg
94,Thaddeus MossT. Moss,WAS,TE,08/23/2020,Undisclosed
95,Renell WrenR. Wren,CIN,DT,08/23/2020,Quadriceps
96,Robert AlfordR. Alford,ARI,DB,08/22/2020,Pectoral
97,Antoine WesleyA. Wesley,BAL,WR,08/22/2020,Shoulder
98,Duke EjioforD. Ejiofor,HOU,DE,08/21/2020,Knee
99,Artie BurnsA. Burns,CHI,DB,08/20/2020,Knee
100,Jashon CornellJ. Cornell,DET,DT,08/20/2020,Achilles
101,Jalen HurdJ. Hurd,SF,WR,08/20/2020,Knee
102,Josh OliverJ. Oliver,JAX,TE,08/20/2020,Foot
103,Vince BiegelV. Biegel,MIA,LB,08/19/2020,Achilles
104,Cody CoreC. Core,NYG,WR,08/19/2020,Achilles
105,George ObinnaG. Obinna,CLE,DE,08/19/2020,Triceps
106,Iman MarshallI. Marshall,BAL,DB,08/17/2020,Knee
107,Quincy AdeboyejoQ. Adeboyejo,NE,WR,08/16/2020,Undisclosed
108,Alex BrownA. Brown,KC,DB,08/16/2020,Knee
109,Chris ThompsonC. Thompson,SF,WR,08/16/2020,Undisclosed
110,Dontavius RussellD. Russell,JAX,DT,08/09/2020,Hip
111,Emmanuel EllerbeeE. Ellerbee,SEA,LB,08/02/2020,Undisclosed
112,Azur KamaraA. Kamara,DAL,LB,08/02/2020,Undisclosed
113,Trevon YoungT. Young,CLE,DE,07/29/2020,Undisclosed
